pair_id,case_id,source_line_no,function_id_a,function_id_b,label,graphcodebert_prediction,llm_bcb_style_prediction,error_type,confidence,failure_category,normalized_category,recommended_route,static_solvability,dynamic_solvability,execution_priority,method_name_a,method_name_b,token_jaccard,strict_clone,bcb_style_clone
36,105,105,16851955,10690321,0,1,0,FP,0.98,boilerplate_overlap,boilerplate_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,low,testTrainingBackprop,readData,0.027119,no,no
37,110,110,21488518,10690321,0,1,0,FP,0.95,long_range_semantics,long_range_semantics,static_summary_plus_selective_dynamic,partially_solvable,medium,low,createNew,readData,0.055749,no,no
38,114,114,11562173,10690321,0,1,0,FP,0.95,long_range_semantics,long_range_semantics,static_summary_plus_selective_dynamic,partially_solvable,medium,low,checkInputStream,readData,0.045113,no,no
39,117,117,7945594,19494842,1,0,1,FN,0.85,partial_functionality,partial_functionality,subfunction_dynamic_plus_preference,not_reliably_solvable_static,medium,medium,fileDownload,callService,0.202703,no,yes
40,118,118,1169642,17901739,0,1,0,FP,0.95,lexical_or_api_overlap,lexical_or_api_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,run,setMembers,0.183206,no,no
41,121,121,7396682,22114133,0,1,0,FP,0.95,lexical_or_api_overlap,lexical_or_api_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,copy,actionPerformed,0.087379,no,no
42,131,131,3584508,659316,1,0,1,FN,0.95,partial_functionality,partial_functionality,subfunction_dynamic_plus_preference,not_reliably_solvable_static,medium,medium,copyResource,main,0.162791,no,yes
43,132,132,6988216,14819747,0,1,0,FP,0.95,boilerplate_overlap,boilerplate_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,testSimpleQuery,main,0.068966,no,no
44,133,133,7118860,1985677,0,1,0,FP,0.95,lexical_or_api_overlap,lexical_or_api_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,getEncoding,SRWGuiClient,0.084158,no,no
45,135,135,810342,1005108,0,1,0,FP,0.95,lexical_or_api_overlap,lexical_or_api_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,doVersionCheck,googleImageSearch,0.172414,no,no
46,139,139,810342,1169642,0,1,0,FP,0.95,lexical_or_api_overlap,lexical_or_api_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,doVersionCheck,run,0.203252,no,no
47,140,140,9371421,8588992,0,1,0,FP,0.95,boilerplate_overlap,boilerplate_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,eventHash,perform,0.05848,no,no
48,145,145,6457199,10690321,0,1,0,FP,0.95,lexical_or_api_overlap,lexical_or_api_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,low,doRequest,readData,0.077739,no,no
49,146,146,19494842,22503685,1,0,1,FN,0.9,lexical_or_api_overlap,lexical_or_api_overlap,api_abstraction_plus_selective_dynamic,partially_solvable,medium,medium,callService,readGeoParserResult,0.122581,no,yes
50,147,147,17901739,12724876,0,1,0,FP,0.95,lexical_or_api_overlap,lexical_or_api_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,setMembers,loadURL,0.169643,no,no
51,151,151,17296916,10690321,0,1,0,FP,0.95,long_range_semantics,long_range_semantics,static_summary_plus_selective_dynamic,partially_solvable,medium,low,logging,readData,0.056667,no,no
52,154,154,8983517,7118860,0,1,0,FP,0.95,boilerplate_overlap,boilerplate_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,getUser,getEncoding,0.160494,no,no
53,155,155,20623709,10690321,0,1,0,FP,0.95,long_range_semantics,long_range_semantics,static_summary_plus_selective_dynamic,partially_solvable,medium,low,split,readData,0.071633,no,no
54,157,157,22418839,8973505,0,1,0,FP,0.95,lexical_or_api_overlap,lexical_or_api_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,handleHandshake,writeFileType,0.151079,no,no
55,160,160,20210699,10540676,0,1,0,FP,0.95,boilerplate_overlap,boilerplate_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,getTicketsForQueue,checkForUpgrade,0.097872,no,no
56,170,170,19307120,2221297,0,1,0,FP,0.95,partial_functionality,partial_functionality,hybrid_review,partially_solvable,medium,medium,sendPost,getURLContent,0.268657,no,no
57,172,172,14819747,13362846,0,1,0,FP,0.95,boilerplate_overlap,boilerplate_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,main,setContenu,0.058036,no,no
58,175,175,22401746,22625683,0,1,0,FP,0.95,lexical_or_api_overlap,lexical_or_api_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,sendRequest,downloadModel,0.110345,no,no
59,177,177,10690321,9109613,0,1,0,FP,0.95,lexical_or_api_overlap,lexical_or_api_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,low,readData,fileCopy,0.088435,no,no
60,178,178,13439950,22418839,0,1,0,FP,0.95,lexical_or_api_overlap,lexical_or_api_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,readRemoteFile,handleHandshake,0.206186,no,no
61,179,179,8778962,22114133,0,1,0,FP,0.95,lexical_or_api_overlap,lexical_or_api_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,decodeFileToFile,actionPerformed,0.10101,no,no
62,186,186,701029,1005107,0,1,0,FP,0.95,lexical_or_api_overlap,lexical_or_api_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,loadSourceCode,googleImageSearch,0.156863,no,no
63,191,191,22114133,7908169,0,1,0,FP,0.95,lexical_or_api_overlap,lexical_or_api_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,actionPerformed,execute,0.04,no,no
64,194,194,17202158,20519261,0,1,0,FP,0.95,lexical_or_api_overlap,lexical_or_api_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,readZoneIDs,readReferenceText,0.205882,no,no
65,197,197,22114133,17729554,0,1,0,FP,0.95,lexical_or_api_overlap,lexical_or_api_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,actionPerformed,clonarFichero,0.060606,no,no
66,200,200,20028790,10540676,0,1,0,FP,0.95,boilerplate_overlap,boilerplate_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,setBundleInfoName,checkForUpgrade,0.119318,no,no
67,202,202,6299111,21016435,0,1,0,FP,0.95,lexical_or_api_overlap,lexical_or_api_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,retrieveQ,getFullScreenUrl,0.228261,no,no
68,203,203,17202158,12039034,0,1,0,FP,0.95,boilerplate_overlap,boilerplate_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,readZoneIDs,importRoles,0.307692,no,no
69,204,204,14688886,16215393,0,1,0,FP,0.95,boilerplate_overlap,boilerplate_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,populateResources,importSequences,0.159664,no,no
70,207,207,18097962,8665321,0,1,0,FP,0.95,boilerplate_overlap,boilerplate_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,getVersion,getNetworkServersIPs,0.271186,no,no
71,208,208,20519261,12171364,0,1,0,FP,0.95,lexical_or_api_overlap,lexical_or_api_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,readReferenceText,getFrameworkFactory,0.188235,no,no
72,212,212,8983517,2465747,0,1,0,FP,0.95,boilerplate_overlap,boilerplate_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,getUser,postRequest,0.230769,no,no
73,213,213,18793482,13891080,1,0,1,FN,0.9,partial_functionality,partial_functionality,subfunction_dynamic_plus_preference,not_reliably_solvable_static,medium,medium,modifyApplicationMessage,copyFile,0.071429,no,yes
74,215,215,17580775,20073619,1,0,1,FN,0.85,partial_functionality,partial_functionality,subfunction_dynamic_plus_preference,not_reliably_solvable_static,medium,medium,runInternal,getPagina,0.078534,no,yes
75,216,216,21491791,10690321,0,1,0,FP,0.95,lexical_or_api_overlap,lexical_or_api_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,low,run,readData,0.062284,no,no
76,219,219,6558022,10212189,1,0,1,FN,0.95,partial_functionality,partial_functionality,subfunction_dynamic_plus_preference,not_reliably_solvable_static,medium,medium,CheckUrl,getXML,0.318182,no,yes
77,220,220,5836744,10212189,1,0,1,FN,0.9,partial_functionality,partial_functionality,subfunction_dynamic_plus_preference,not_reliably_solvable_static,medium,medium,read,getXML,0.229167,no,yes
78,221,221,21998571,293167,0,1,0,FP,0.95,lexical_or_api_overlap,lexical_or_api_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,readTwitterFead,doVersionCheck,0.183673,no,no
79,222,222,4562786,1005108,0,1,0,FP,0.95,lexical_or_api_overlap,lexical_or_api_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,GetResponse,googleImageSearch,0.17,no,no
80,224,224,14819747,2668634,0,1,0,FP,0.95,long_range_semantics,long_range_semantics,static_summary_plus_selective_dynamic,partially_solvable,medium,medium,main,WebmillDeploy,0.12549,no,no
81,232,232,7044153,7143591,1,0,1,FN,0.9,partial_functionality,partial_functionality,subfunction_dynamic_plus_preference,not_reliably_solvable_static,medium,medium,sendExceptionToServer,getWebByUrl,0.225,no,yes
82,233,233,2521141,14819747,0,1,0,FP,0.95,boilerplate_overlap,boilerplate_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,copy,main,0.13198,no,no
83,234,234,17202158,10547671,0,1,0,FP,0.95,partial_functionality,partial_functionality,hybrid_review,partially_solvable,medium,medium,readZoneIDs,retrieveTemplate,0.282609,no,no
84,242,242,20568568,16353490,0,1,0,FP,0.95,boilerplate_overlap,boilerplate_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,createHTML,executePost,0.115607,no,no
85,243,243,20855053,1005108,0,1,0,FP,0.95,boilerplate_overlap,boilerplate_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,init,googleImageSearch,0.139344,no,no
86,245,245,22418839,2465747,0,1,0,FP,0.95,boilerplate_overlap,boilerplate_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,handleHandshake,postRequest,0.17757,no,no
87,253,253,20247400,3584508,1,0,1,FN,0.95,partial_functionality,partial_functionality,subfunction_dynamic_plus_preference,not_reliably_solvable_static,medium,medium,main,copyResource,0.2,no,yes
88,257,257,3401153,12197169,1,0,1,FN,0.85,partial_functionality,partial_functionality,subfunction_dynamic_plus_preference,not_reliably_solvable_static,medium,medium,getHTML,read,0.24359,no,yes
89,260,260,4599372,22114133,0,1,0,FP,0.95,boilerplate_overlap,boilerplate_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,readFixString,actionPerformed,0.069149,no,no
90,275,275,12171364,19276022,0,1,0,FP,0.95,boilerplate_overlap,boilerplate_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,low,getFrameworkFactory,parse,0.128205,no,no
91,278,278,3401153,6301863,1,0,1,FN,0.85,partial_functionality,partial_functionality,subfunction_dynamic_plus_preference,not_reliably_solvable_static,medium,medium,getHTML,doRawRequest,0.298507,no,yes
92,285,285,21063400,10690321,0,1,0,FP,0.95,library_context_missing,library_context_missing,context_recovery_then_dynamic,not_reliably_solvable_static,low,low,doImageProcess,readData,0.055556,no,no
93,286,286,8983517,324679,0,1,0,FP,0.95,boilerplate_overlap,boilerplate_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,getUser,import_hints,0.204545,no,no
94,296,296,14194234,11082670,1,0,1,FN,0.85,partial_functionality,partial_functionality,subfunction_dynamic_plus_preference,not_reliably_solvable_static,medium,medium,File2String,lookupFutureEvents,0.158273,no,yes
95,298,298,8588992,7761195,0,1,0,FP,0.95,boilerplate_overlap,boilerplate_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,perform,encrypt,0.068966,no,no
96,300,300,22844377,12171364,0,1,0,FP,0.95,boilerplate_overlap,boilerplate_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,scrapeForIsbns,getFrameworkFactory,0.168317,no,no
97,307,307,3584508,17999474,1,0,1,FN,0.85,partial_functionality,partial_functionality,subfunction_dynamic_plus_preference,not_reliably_solvable_static,medium,medium,copyResource,getZipAsFile,0.096774,no,yes
98,313,313,8588992,7948308,0,1,0,FP,0.95,boilerplate_overlap,boilerplate_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,perform,getRandomGUID,0.078534,no,no
99,318,318,160739,22114133,0,1,0,FP,0.95,boilerplate_overlap,boilerplate_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,createOutputStream,actionPerformed,0.073733,no,no
100,319,319,6301863,12171364,0,1,0,FP,0.95,boilerplate_overlap,boilerplate_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,doRawRequest,getFrameworkFactory,0.169014,no,no
101,321,321,20210699,614099,0,1,0,FP,0.95,boilerplate_overlap,boilerplate_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,getTicketsForQueue,doVersionCheck,0.123188,no,no
102,323,323,8132219,14819747,0,1,0,FP,0.95,boilerplate_overlap,boilerplate_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,copyFile,main,0.093567,no,no
103,326,326,20210699,19276022,0,1,0,FP,0.95,boilerplate_overlap,boilerplate_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,low,getTicketsForQueue,parse,0.125506,no,no
104,332,332,6840241,10690321,0,1,0,FP,0.95,boilerplate_overlap,boilerplate_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,low,copy,readData,0.037175,no,no
105,339,339,16353490,19276022,0,1,0,FP,0.95,boilerplate_overlap,boilerplate_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,low,executePost,parse,0.087558,no,no
106,340,340,2396191,324679,0,1,0,FP,0.95,boilerplate_overlap,boilerplate_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,getLinksFromURLFast,import_hints,0.157895,no,no
107,343,343,10690321,3024970,0,1,0,FP,0.95,other,other,hybrid_review,partially_solvable,medium,low,readData,testCopy_inputStreamToOutputStream,0.042403,no,no
108,349,349,12039034,10540676,0,1,0,FP,0.95,boilerplate_overlap,boilerplate_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,importRoles,checkForUpgrade,0.116959,no,no
109,352,352,14819747,18211588,0,1,0,FP,0.95,boilerplate_overlap,boilerplate_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,main,copyTextFile,0.083333,no,no
110,356,356,17901739,20210699,0,1,0,FP,0.98,lexical_or_api_overlap,lexical_or_api_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,setMembers,getTicketsForQueue,0.136054,no,no
111,361,361,14819747,20375440,0,1,0,FP,0.99,dataflow_blindspot,dataflow_blindspot,dynamic_rejection_with_trace,partially_solvable,high,high,main,copyFile,0.063953,no,no
112,363,363,14819747,19335986,0,1,0,FP,0.95,boilerplate_overlap,boilerplate_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,main,uncaughtException,0.07619,no,no
113,364,364,3584508,19849797,1,0,1,FN,0.85,lexical_or_api_overlap,lexical_or_api_overlap,api_abstraction_plus_selective_dynamic,partially_solvable,medium,medium,copyResource,copyFile,0.235294,no,yes
114,369,369,10540676,10547671,0,1,0,FP,0.95,partial_functionality,partial_functionality,hybrid_review,partially_solvable,medium,medium,checkForUpgrade,retrieveTemplate,0.109756,no,no
115,373,373,10690321,4750967,0,1,0,FP,0.95,long_range_semantics,long_range_semantics,static_summary_plus_selective_dynamic,partially_solvable,medium,low,readData,patch,0.01487,no,no
116,374,374,17901739,17580775,1,0,1,FN,0.85,partial_functionality,partial_functionality,subfunction_dynamic_plus_preference,not_reliably_solvable_static,medium,medium,setMembers,runInternal,0.092166,no,yes
117,380,380,6159896,8588992,0,1,0,FP,1.0,boilerplate_overlap,boilerplate_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,md5,perform,0.106145,no,no
118,385,385,3958807,10690321,0,1,0,FP,0.95,boilerplate_overlap,boilerplate_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,low,loadBinaryStream,readData,0.035336,no,no
119,392,392,14819747,22135199,0,1,0,FP,0.95,boilerplate_overlap,boilerplate_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,main,testCodingEmptyFile,0.044554,no,no
120,394,394,22418839,12171364,0,1,0,FP,1.0,lexical_or_api_overlap,lexical_or_api_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,handleHandshake,getFrameworkFactory,0.158879,no,no
121,397,397,4531653,8588992,0,1,0,FP,0.95,long_range_semantics,long_range_semantics,static_summary_plus_selective_dynamic,partially_solvable,medium,low,md5,perform,0.054545,no,no
122,399,399,10690321,6188784,0,1,0,FP,0.95,dataflow_blindspot,dataflow_blindspot,dynamic_rejection_with_trace,partially_solvable,high,low,readData,copy,0.040293,no,no
123,402,402,22401746,12171364,0,1,0,FP,0.98,lexical_or_api_overlap,lexical_or_api_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,sendRequest,getFrameworkFactory,0.09396,no,no
124,403,403,14783950,22114133,0,1,0,FP,0.95,boilerplate_overlap,boilerplate_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,compressWithZip,actionPerformed,0.07109,no,no
125,404,404,16215393,12724876,0,1,0,FP,0.95,boilerplate_overlap,boilerplate_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,importSequences,loadURL,0.103774,no,no
126,431,431,6301863,9450274,1,0,1,FN,0.95,partial_functionality,partial_functionality,subfunction_dynamic_plus_preference,not_reliably_solvable_static,medium,medium,doRawRequest,seeURLConnection,0.395833,no,yes
127,434,434,14819747,18238468,0,1,0,FP,1.0,lexical_or_api_overlap,lexical_or_api_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,main,testLoadSource,0.042781,no,no
128,437,437,20855053,160705,0,1,0,FP,0.95,partial_functionality,partial_functionality,hybrid_review,partially_solvable,medium,medium,init,downloadFile,0.102041,no,no
129,451,451,620855,7945594,1,0,1,FN,0.85,partial_functionality,partial_functionality,subfunction_dynamic_plus_preference,not_reliably_solvable_static,medium,medium,doVersionCheck,fileDownload,0.204545,no,yes
130,456,456,3584508,1769771,1,0,1,FN,0.9,library_context_missing,library_context_missing,context_recovery_then_expert,not_reliably_solvable_static,low,medium,copyResource,copyFile,0.235294,no,yes
131,458,458,10690321,19810820,0,1,0,FP,1.0,boilerplate_overlap,boilerplate_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,low,readData,copyFileChannel,0.043796,no,no
132,466,466,3584508,18748516,1,0,1,FN,0.9,lexical_or_api_overlap,lexical_or_api_overlap,api_abstraction_plus_selective_dynamic,partially_solvable,medium,medium,copyResource,copy,0.22,no,yes
133,470,470,20568568,9450274,1,0,1,FN,0.95,partial_functionality,partial_functionality,subfunction_dynamic_plus_preference,not_reliably_solvable_static,medium,medium,createHTML,seeURLConnection,0.10274,no,yes
134,472,472,17580775,614099,1,0,1,FN,0.85,partial_functionality,partial_functionality,subfunction_dynamic_plus_preference,not_reliably_solvable_static,medium,medium,runInternal,doVersionCheck,0.108374,no,yes
135,500,500,10690321,8216539,0,1,0,FP,0.95,long_range_semantics,long_range_semantics,static_summary_plus_selective_dynamic,partially_solvable,medium,low,readData,getFileContentAsString,0.044118,no,no
136,519,519,3584508,9805906,1,0,1,FN,0.85,partial_functionality,partial_functionality,subfunction_dynamic_plus_preference,not_reliably_solvable_static,medium,medium,copyResource,dump,0.196429,no,yes
137,536,536,14758866,16142024,1,0,1,FN,0.9,partial_functionality,partial_functionality,subfunction_dynamic_plus_preference,not_reliably_solvable_static,medium,medium,getResourceAsStream,copyFile,0.172727,no,yes
138,544,544,10690321,530882,0,1,0,FP,0.9,other,other,hybrid_review,partially_solvable,medium,low,readData,readAndRewrite,0.03268,no,no
139,561,561,21348951,22114133,0,1,0,FP,0.95,other,other,hybrid_review,partially_solvable,medium,low,processAddByURLSubmit,actionPerformed,0.058252,no,no
140,567,567,13596891,7166270,1,0,1,FN,0.9,partial_functionality,partial_functionality,subfunction_dynamic_plus_preference,not_reliably_solvable_static,medium,medium,doTransfer,issueCommandToServer,0.186992,no,yes
141,587,587,2396191,20602651,0,1,0,FP,0.95,partial_functionality,partial_functionality,hybrid_review,partially_solvable,medium,medium,getLinksFromURLFast,readURL,0.159091,no,no
142,594,594,20210699,1005108,0,1,0,FP,0.95,partial_functionality,partial_functionality,hybrid_review,partially_solvable,medium,medium,getTicketsForQueue,googleImageSearch,0.119048,no,no
143,598,598,14819747,539195,0,1,0,FP,0.98,lexical_or_api_overlap,lexical_or_api_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,main,copy,0.086207,no,no
144,600,600,3401153,2465747,1,0,1,FN,0.9,partial_functionality,partial_functionality,subfunction_dynamic_plus_preference,not_reliably_solvable_static,medium,medium,getHTML,postRequest,0.275,no,yes
145,602,602,3584508,12055086,1,0,1,FN,0.9,partial_functionality,partial_functionality,subfunction_dynamic_plus_preference,not_reliably_solvable_static,medium,medium,copyResource,copyDeleting,0.230769,no,yes
